CustomerID,SignupDate,Plan,MonthlyPrice,ContractType,Region,AcquisitionChannel,SupportTier,TenureMonths,AvgLoginsPerMonth,SupportTickets,SatisfactionScore,Churned,ChurnDate,CustomerLifetimeValue
CUST10000,2021-06-25,Basic,9.99,Monthly,South,Email Campaign,Self-Service,1,4.5,1,6.2,1,2021-07-25,9.99
CUST10001,2024-01-05,Standard,19.99,Monthly,West,Referral,Priority Support,12,10.3,0,6.3,0,,239.88
CUST10002,2021-07-21,Standard,19.99,Monthly,Central,Organic Search,Standard Support,41,8.5,0,10.0,0,,819.59
CUST10003,2023-01-16,Premium,39.99,Monthly,West,Paid Ads,Self-Service,2,15.3,1,4.7,1,2023-03-17,79.98
CUST10004,2024-02-22,Basic,9.99,Annual,Central,Organic Search,Self-Service,10,13.6,1,4.9,0,,109.89
CUST10005,2022-09-29,Standard,19.99,Monthly,Central,Organic Search,Standard Support,27,17.4,1,10.0,0,,539.73
CUST10006,2024-12-08,Basic,9.99,Annual,South,Paid Ads,Self-Service,1,4.5,1,5.2,0,,10.99
CUST10007,2021-07-10,Standard,19.99,Annual,East,Paid Ads,Priority Support,42,5.3,1,6.9,0,,923.54
CUST10008,2022-02-26,Standard,19.99,Monthly,North,Referral,Self-Service,16,8.8,4,8.4,1,2023-06-21,319.84
CUST10009,2024-09-01,Basic,9.99,Annual,East,Organic Search,Standard Support,4,0.0,0,7.8,0,,43.96
CUST10010,2023-05-24,Standard,19.99,Monthly,Central,Organic Search,Standard Support,19,16.9,1,6.8,0,,379.81
CUST10011,2022-09-05,Standard,19.99,Annual,South,Paid Ads,Standard Support,28,12.3,3,6.5,0,,615.69
CUST10012,2023-07-07,Basic,9.99,Annual,South,Organic Search,Standard Support,18,5.2,0,6.7,0,,197.8
CUST10013,2022-11-22,Premium,39.99,Monthly,North,Organic Search,Self-Service,25,14.6,1,5.7,0,,999.75
CUST10014,2022-08-31,Standard,19.99,Monthly,East,Organic Search,Standard Support,28,12.8,1,10.0,0,,559.72
CUST10015,2021-02-14,Basic,9.99,Monthly,East,Organic Search,Priority Support,47,0.2,0,9.1,0,,469.53
CUST10016,2024-03-27,Standard,19.99,Annual,South,Organic Search,Self-Service,9,8.9,0,7.9,0,,197.9
CUST10017,2024-05-15,Premium,39.99,Annual,West,Referral,Self-Service,7,12.4,1,5.3,0,,307.92
CUST10018,2021-09-25,Basic,9.99,Annual,North,Referral,Standard Support,39,9.0,0,6.5,0,,428.57
CUST10019,2023-06-04,Basic,9.99,Monthly,East,Email Campaign,Standard Support,19,10.9,0,7.9,0,,189.81
CUST10020,2023-01-01,Standard,19.99,Annual,East,Paid Ads,Self-Service,24,2.4,0,7.5,0,,527.74
CUST10021,2024-03-30,Basic,9.99,Monthly,Central,Organic Search,Standard Support,9,12.3,0,8.8,0,,89.91
CUST10022,2022-03-01,Standard,19.99,Monthly,East,Organic Search,Self-Service,34,13.1,1,6.9,0,,679.66
CUST10023,2023-08-18,Standard,19.99,Annual,West,Organic Search,Self-Service,16,14.7,3,7.0,0,,351.82
CUST10024,2024-10-24,Standard,19.99,Monthly,Central,Paid Ads,Priority Support,2,9.5,0,6.7,0,,39.98
CUST10025,2024-01-17,Basic,9.99,Monthly,West,Email Campaign,Self-Service,11,12.5,1,6.0,0,,109.89
CUST10026,2021-05-25,Standard,19.99,Monthly,North,Paid Ads,Self-Service,43,9.3,2,7.2,0,,859.57
CUST10027,2023-10-12,Standard,19.99,Monthly,North,Social Media,Self-Service,7,12.0,5,6.0,1,2024-05-09,139.93
CUST10028,2024-07-06,Premium,39.99,Monthly,South,Social Media,Self-Service,5,19.2,2,7.4,0,,199.95
CUST10029,2022-07-09,Basic,9.99,Monthly,East,Organic Search,Self-Service,26,4.3,1,8.6,1,2024-08-27,259.74
CUST10030,2023-02-01,Standard,19.99,Annual,Central,Paid Ads,Standard Support,23,17.4,0,7.5,0,,505.75
CUST10031,2023-07-16,Standard,19.99,Monthly,North,Paid Ads,Self-Service,17,13.8,0,5.5,0,,339.83
CUST10032,2021-08-24,Basic,9.99,Annual,South,Referral,Priority Support,40,5.8,0,5.4,0,,439.56
CUST10033,2024-10-09,Premium,39.99,Monthly,Central,Email Campaign,Priority Support,2,17.2,0,6.8,0,,79.98
CUST10034,2023-03-31,Standard,19.99,Annual,South,Paid Ads,Self-Service,12,8.0,3,6.2,1,2024-03-25,263.87
CUST10035,2021-10-23,Basic,9.99,Monthly,West,Paid Ads,Self-Service,38,6.2,0,7.1,0,,379.62
CUST10036,2021-11-30,Premium,39.99,Monthly,North,Paid Ads,Priority Support,37,15.0,1,7.9,0,,1479.63
CUST10037,2023-06-16,Basic,9.99,Monthly,South,Social Media,Standard Support,18,0.1,0,6.5,0,,179.82
CUST10038,2023-02-07,Basic,9.99,Monthly,West,Social Media,Self-Service,23,7.7,3,7.0,0,,229.77
